순위,단어,품사,초성,은이-는가
953,공동,명,ㄱㄷ,0
1865,공무원,명,ㄱㅁㅇ,0
490,공부,명,ㄱㅂ,1
1374,공사,명,ㄱㅅ,1
2462,공식,명,ㄱㅅ,0
4325,공식적,명,ㄱㅅㅈ,0
1084,공업,명,ㄱㅇ,0
1067,공연,명,ㄱㅇ,0
4864,공연장,명,ㄱㅇㅈ,0
2950,공원,명,ㄱㅇ,0
685,공장,명,ㄱㅈ,0
8313,공주,명,ㄱㅈ,1
3676,공중,명,ㄱㅈ,0
8672,공중전화,명,ㄱㅈㅈㅎ,1
6540,공짜,명,ㄱㅉ,1
5179,공책,명,ㄱㅊ,0
8673,공통,명,ㄱㅌ,0
6362,공통적,명,ㄱㅌㅈ,0
7696,공통점,명,ㄱㅌㅈ,0
2152,공포,명,ㄱㅍ,1
2433,공항,명,ㄱㅎ,0
20070,공항버스,명,ㄱㅎㅂㅅ,1
3677,공해,명,ㄱㅎ,1
9466,공휴일,명,ㄱㅎㅇ,0
3105,과,명,ㄱ,1
996,과,명,ㄱ,1
8674,과거,명,ㄱㄱ,1
549,과거,명,ㄱㄱ,1
2704,과목,명,ㄱㅁ,0
7701,과외,명,ㄱㅇ,1
1491,과일,명,ㄱㅇ,0
4402,과자,명,ㄱㅈ,1
2351,과장,명,ㄱㅈ,0
188,과정,명,ㄱㅈ,0
6018,과정,명,ㄱㅈ,0
1259,과제,명,ㄱㅈ,1
346,과학,명,ㄱㅎ,0
1718,과학자,명,ㄱㅎㅈ,1
2734,과학적,명,ㄱㅎㅈ,0
1814,관객,명,ㄱㄱ,0
152,관계,명,ㄱㄱ,1
967,관계자,명,ㄱㄱㅈ,1
1719,관광,명,ㄱㄱ,0
3730,관광객,명,ㄱㄱㄱ,0
20077,관광버스,명,ㄱㄱㅂㅅ,1
7182,관광지,명,ㄱㄱㅈ,1
2189,관념,명,ㄱㄴ,0
9923,관람,명,ㄱㄹ,0
7453,관람객,명,ㄱㄹㄱ,0
420,관련,명,ㄱㄹ,0
2646,관리,명,ㄱㄹ,1
858,관리,명,ㄱㄹ,1
3566,관습,명,ㄱㅅ,0
312,관심,명,ㄱㅅ,0
5720,관심사,명,ㄱㅅㅅ,1
839,관점,명,ㄱㅈ,0
3216,관찰,명,ㄱㅊ,0
3567,광경,명,ㄱㄱ,0
316,광고,명,ㄱㄱ,1
3392,광장,명,ㄱㅈ,0
5000,광주,고,ㄱㅈ,1
3910,괴로움,명,ㄱㄹㅇ,0
2887,교과서,명,ㄱㄱㅅ,1
7703,교내,명,ㄱㄴ,1
5582,교대,명,ㄱㄷ,1
2402,교류,명,ㄱㄹ,1
6961,교문,명,ㄱㅁ,0
7185,교복,명,ㄱㅂ,0
474,교사,명,ㄱㅅ,1
371,교수,명,ㄱㅅ,1
1339,교실,명,ㄱㅅ,0
4115,교양,명,ㄱㅇ,0
9930,교외,명,ㄱㅇ,1
198,교육,명,ㄱㅇ,0
9931,교육비,명,ㄱㅇㅂ,1
6363,교육자,명,ㄱㅇㅈ,1
1103,교장,명,ㄱㅈ,0
6364,교재,명,ㄱㅈ,1
4769,교직,명,ㄱㅈ,0
4403,교체,명,ㄱㅊ,1
1249,교통,명,ㄱㅌ,0
3517,교통사고,명,ㄱㅌㅅㄱ,1
7186,교포,명,ㄱㅍ,1
3107,교환,명,ㄱㅎ,0
1708,교회,명,ㄱㅎ,1
3973,교훈,명,ㄱㅎ,0
10999,구,수,ㄱ,1
7705,구,명,ㄱ,1
2705,구경,명,ㄱㄱ,0
3217,구두,명,ㄱㄷ,1
2493,구름,명,ㄱㄹ,0
2055,구멍,명,ㄱㅁ,0
4490,구별,명,ㄱㅂ,0
2590,구분,명,ㄱㅂ,0
2494,구석,명,ㄱㅅ,0
4259,구석구석,명,ㄱㅅㄱㅅ,0
853,구성,명,ㄱㅅ,0
1351,구속,명,ㄱㅅ,0
5000,구십,수,ㄱㅅ,0
2037,구역,명,ㄱㅇ,0
1076,구월,명,ㄱㅇ,0
5182,구입,명,ㄱㅇ,0
350,구조,명,ㄱㅈ,1
5583,구청,명,ㄱㅊ,0
769,구체적,명,ㄱㅊㅈ,0
3732,국,명,ㄱ,0
141,국가,명,ㄱㄱ,1
8682,국가적,명,ㄱㄱㅈ,0
8014,국기,명,ㄱㄱ,1
447,국내,명,ㄱㄴ,1
18114,국내선,명,ㄱㄴㅅ,0
5584,국내외,명,ㄱㄴㅇ,1
9934,국립,명,ㄱㄹ,0
3177,국물,명,ㄱㅁ,0
235,국민,명,ㄱㅁ,0
15251,국민적,명,ㄱㅁㅈ,0
5723,국사,명,ㄱㅅ,1
3792,국산,명,ㄱㅅ,0
6022,국수,명,ㄱㅅ,1
3108,국어,명,ㄱㅇ,1
4116,국왕,명,ㄱㅇ,0
4868,국적,명,ㄱㅈ,0
878,국제,명,ㄱㅈ,1
15255,국제선,명,ㄱㅈㅅ,0
6023,국제적,명,ㄱㅈㅈ,0
2647,국제화,명,ㄱㅈㅎ,1
1126,국회,명,ㄱㅎ,1
2545,국회의원,명,ㄱㅎㅇㅇ,0
659,군,명,ㄱ,0
5080,군,명,ㄱ,0
1531,군대,명,ㄱㄷ,1
3219,군사,명,ㄱㅅ,1
1613,군사,명,ㄱㅅ,1
2434,군인,명,ㄱㅇ,0
2990,궁극적,명,ㄱㄱㅈ,0
1451,권리,명,ㄱㄹ,1
2153,권위,명,ㄱㅇ,1
6963,권투,명,ㄱㅌ,1
