순위,단어,품사,초성
1930,적절하다,형,ㅈㅈㅎㄷ
3835,적합하다,형,ㅈㅎㅎㄷ
528,젊다,형,ㅈㄷ
5809,점잖다,형,ㅈㅈㄷ
5969,정직하다,형,ㅈㅈㅎㄷ
1016,정확하다,형,ㅈㅎㅎㄷ
5142,조그마하다,형,ㅈㄱㅁㅎㄷ
2324,조그맣다,형,ㅈㄱㅁㄷ
2977,조심스럽다,형,ㅈㅅㅅㄹㄷ
2610,조용하다,형,ㅈㅇㅎㄷ
1754,좁다,형,ㅈㄷ
45,좋다,형,ㅈㄷ
2724,죄송하다,형,ㅈㅅㅎㄷ
4380,주요하다,형,ㅈㅇㅎㄷ
4555,중대하다,형,ㅈㄷㅎㄷ
220,중요하다,형,ㅈㅇㅎㄷ
1002,즐겁다,형,ㅈㄱㄷ
5411,지겹다,형,ㅈㄱㄷ
1059,지나치다,형,ㅈㄴㅊㄷ
4161,지루하다,형,ㅈㄹㅎㄷ
8225,지저분하다,형,ㅈㅈㅂㅎㄷ
5822,진실하다,형,ㅈㅅㅎㄷ
2374,진지하다,형,ㅈㅈㅎㄷ
3018,진하다,형,ㅈㅎㄷ
2482,짙다,형,ㅈㄷ
9356,짜다,형,ㅉㄷ
9357,짜증스럽다,형,ㅉㅈㅅㄹㄷ
856,짧다,형,ㅉㄷ
2067,차갑다,형,ㅊㄱㄷ
3716,차다,형,ㅊㄷ
1567,착하다,형,ㅊㅎㄷ
4562,참되다,형,ㅊㄷㄷ
6312,창피하다,형,ㅊㅍㅎㄷ
2068,철저하다,형,ㅊㅈㅎㄷ
6498,초조하다,형,ㅊㅈㅎㄷ
9813,촌스럽다,형,ㅊㅅㄹㄷ
1654,춥다,형,ㅊㄷ
1624,충분하다,형,ㅊㅂㅎㄷ
3894,친절하다,형,ㅊㅈㅎㄷ
3209,친하다,형,ㅊㅎㄷ
7397,침착하다,형,ㅊㅊㅎㄷ
7398,캄캄하다,형,ㅋㅋㅎㄷ
886,커다랗다,형,ㅋㄷㄹㄷ
39,크다,형,ㅋㄷ
4472,탁월하다,형,ㅌㅇㅎㄷ
3667,투명하다,형,ㅌㅁㅎㄷ
1693,특별하다,형,ㅌㅂㅎㄷ
4661,특이하다,형,ㅌㅇㅎㄷ
2459,특정하다,형,ㅌㅈㅎㄷ
2948,튼튼하다,형,ㅌㅌㅎㄷ
1768,틀림없다,형,ㅌㄹㅇㄷ
3506,파랗다,형,ㅍㄹㄷ
2300,편리하다,형,ㅍㄹㅎㄷ
2397,편안하다,형,ㅍㅇㅎㄷ
1449,편하다,형,ㅍㅎㄷ
2785,평범하다,형,ㅍㅂㅎㄷ
5428,평화롭다,형,ㅍㅎㄹㄷ
8602,포근하다,형,ㅍㄱㅎㄷ
3448,폭넓다,형,ㅍㄴㄷ
1227,푸르다,형,ㅍㄹㄷ
1903,풍부하다,형,ㅍㅂㅎㄷ
2641,피곤하다,형,ㅍㄱㅎㄷ
8981,피로하다,형,ㅍㄹㅎㄷ
251,필요하다,형,ㅍㅇㅎㄷ
1528,하얗다,형,ㅎㅇㄷ
6721,한가하다,형,ㅎㄱㅎㄷ
5995,해롭다,형,ㅎㄹㄷ
1891,행복하다,형,ㅎㅂㅎㄷ
2108,화려하다,형,ㅎㄹㅎㄷ
1561,확실하다,형,ㅎㅅㅎㄷ
3341,환하다,형,ㅎㅎㄷ
2304,활발하다,형,ㅎㅂㅎㄷ
966,훌륭하다,형,ㅎㄹㅎㄷ
5845,흐리다,형,ㅎㄹㄷ
1655,흔하다,형,ㅎㅎㄷ
5702,흥미롭다,형,ㅎㅁㄹㄷ
1366,희다,형,ㅎㄷ
5443,힘겹다,형,ㅎㄱㄷ
489,힘들다,형,ㅎㄷㄷ
3846,힘차다,형,ㅎㅊㄷ
